thick,t_mm,width,test,W_Y,M,SAC,n,alpha,onset,frame,eps1,eps2
A,1.2,W02,002,20.0,0.75,0.0005,10,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.75,0.0005,10,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.75,0.001,6,0.1,True,343,0.2086138219023362,-0.05859800552328428
A,1.2,W02,002,20.0,0.75,0.001,6,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.75,0.001,8,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.75,0.001,8,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.75,0.001,10,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.75,0.001,10,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.8,0.0005,6,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.8,0.0005,6,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.8,0.0005,8,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.8,0.0005,8,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.8,0.0005,10,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.8,0.0005,10,0.2,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,20.0,0.8,0.001,6,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.8,0.001,6,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.8,0.001,8,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.8,0.001,8,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.8,0.001,10,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,20.0,0.8,0.001,10,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.7,0.0005,6,0.1,True,333,0.1776144428130908,-0.04803820069019611
A,1.2,W02,002,25.0,0.7,0.0005,6,0.2,True,333,0.1776144428130908,-0.04803820069019611
A,1.2,W02,002,25.0,0.7,0.0005,8,0.1,True,333,0.1776144428130908,-0.04803820069019611
A,1.2,W02,002,25.0,0.7,0.0005,8,0.2,True,333,0.1776144428130908,-0.04803820069019611
A,1.2,W02,002,25.0,0.7,0.0005,10,0.1,True,412,0.28988348635343403,-0.0854158725302953
A,1.2,W02,002,25.0,0.7,0.0005,10,0.2,True,413,0.29393004186642474,-0.08658273403461163
A,1.2,W02,002,25.0,0.7,0.001,6,0.1,True,343,0.2086138219023362,-0.05859800552328428
A,1.2,W02,002,25.0,0.7,0.001,6,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.7,0.001,8,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.7,0.001,8,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.7,0.001,10,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.7,0.001,10,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.75,0.0005,6,0.1,True,343,0.2086138219023362,-0.05859800552328428
A,1.2,W02,002,25.0,0.75,0.0005,6,0.2,True,405,0.2643376818070045,-0.07736816562903233
A,1.2,W02,002,25.0,0.75,0.0005,8,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,25.0,0.75,0.0005,8,0.2,True,405,0.2643376818070045,-0.07736816562903233
A,1.2,W02,002,25.0,0.75,0.0005,10,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,25.0,0.75,0.0005,10,0.2,True,405,0.2643376818070045,-0.07736816562903233
A,1.2,W02,002,25.0,0.75,0.001,6,0.1,True,343,0.2086138219023362,-0.05859800552328428
A,1.2,W02,002,25.0,0.75,0.001,6,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.75,0.001,8,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.75,0.001,8,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.75,0.001,10,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.75,0.001,10,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.8,0.0005,6,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,25.0,0.8,0.0005,6,0.2,True,398,0.23726184570636505,-0.06819932200969794
A,1.2,W02,002,25.0,0.8,0.0005,8,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,25.0,0.8,0.0005,8,0.2,True,398,0.23726184570636505,-0.06819932200969794
A,1.2,W02,002,25.0,0.8,0.0005,10,0.1,True,393,0.23245546317253357,-0.06698721742782837
A,1.2,W02,002,25.0,0.8,0.0005,10,0.2,True,398,0.23726184570636505,-0.06819932200969794
A,1.2,W02,002,25.0,0.8,0.001,6,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.8,0.001,6,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.8,0.001,8,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.8,0.001,8,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.8,0.001,10,0.1,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W02,002,25.0,0.8,0.001,10,0.2,True,403,0.2560600730089041,-0.07455072351373158
A,1.2,W05,001,15.0,0.7,0.0005,6,0.1,True,433,0.23240710934003195,-0.03067166268825531
A,1.2,W05,001,15.0,0.7,0.0005,6,0.2,True,448,0.3082842775185903,-0.04158536712328593
A,1.2,W05,001,15.0,0.7,0.0005,8,0.1,True,447,0.3012744716803233,-0.04090630034605662
A,1.2,W05,001,15.0,0.7,0.0005,8,0.2,True,448,0.3082842775185903,-0.04158536712328593
A,1.2,W05,001,15.0,0.7,0.0005,10,0.1,True,447,0.3012744716803233,-0.04090630034605662
A,1.2,W05,001,15.0,0.7,0.0005,10,0.2,True,448,0.3082842775185903,-0.04158536712328593
A,1.2,W05,001,15.0,0.7,0.001,6,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.7,0.001,6,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.7,0.001,8,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.7,0.001,8,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.7,0.001,10,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.7,0.001,10,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.75,0.0005,6,0.1,True,451,0.3309968241055806,-0.043469611008961996
A,1.2,W05,001,15.0,0.75,0.0005,6,0.2,True,451,0.3309968241055806,-0.043469611008961996
A,1.2,W05,001,15.0,0.75,0.0005,8,0.1,True,451,0.3309968241055806,-0.043469611008961996
A,1.2,W05,001,15.0,0.75,0.0005,8,0.2,True,451,0.3309968241055806,-0.043469611008961996
A,1.2,W05,001,15.0,0.75,0.0005,10,0.1,True,451,0.3309968241055806,-0.043469611008961996
A,1.2,W05,001,15.0,0.75,0.0005,10,0.2,True,451,0.3309968241055806,-0.043469611008961996
A,1.2,W05,001,15.0,0.75,0.001,6,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.75,0.001,6,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.75,0.001,8,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.75,0.001,8,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.75,0.001,10,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.75,0.001,10,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.8,0.0005,6,0.1,True,426,0.21327845394611358,-0.02833216905593872
A,1.2,W05,001,15.0,0.8,0.0005,6,0.2,True,426,0.21327845394611358,-0.02833216905593872
A,1.2,W05,001,15.0,0.8,0.0005,8,0.1,True,426,0.21327845394611358,-0.02833216905593872
A,1.2,W05,001,15.0,0.8,0.0005,8,0.2,True,426,0.21327845394611358,-0.02833216905593872
A,1.2,W05,001,15.0,0.8,0.0005,10,0.1,True,426,0.21327845394611358,-0.02833216905593872
A,1.2,W05,001,15.0,0.8,0.0005,10,0.2,True,426,0.21327845394611358,-0.02833216905593872
A,1.2,W05,001,15.0,0.8,0.001,6,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.8,0.001,6,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.8,0.001,8,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.8,0.001,8,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,15.0,0.8,0.001,10,0.1,True,444,0.28377086798350015,-0.038671926359335584
A,1.2,W05,001,15.0,0.8,0.001,10,0.2,True,449,0.31566280364990235,-0.042281018992265065
A,1.2,W05,001,20.0,0.7,0.0005,6,0.1,False,,,
A,1.2,W05,001,20.0,0.7,0.0005,6,0.2,False,,,
A,1.2,W05,001,20.0,0.7,0.0005,8,0.1,False,,,
A,1.2,W05,001,20.0,0.7,0.0005,8,0.2,False,,,
A,1.2,W05,001,20.0,0.7,0.0005,10,0.1,False,,,
A,1.2,W05,001,20.0,0.7,0.0005,10,0.2,False,,,
A,1.2,W05,001,20.0,0.7,0.001,6,0.1,False,,,
A,1.2,W05,001,20.0,0.7,0.001,6,0.2,False,,,
A,1.2,W05,001,20.0,0.7,0.001,8,0.1,False,,,
A,1.2,W05,001,20.0,0.7,0.001,8,0.2,False,,,
A,1.2,W05,001,20.0,0.7,0.001,10,0.1,False,,,
A,1.2,W05,001,20.0,0.7,0.001,10,0.2,False,,,
A,1.2,W05,001,20.0,0.75,0.0005,6,0.1,True,426,0.21327845394611358,-0.02833216905593872
A,1.2,W05,001,20.0,0.75,0.0005,6,0.2,True,451,0.3309968241055806,-0.043469611008961996
A,1.2,W05,001,20.0,0.75,0.0005,8,0.1,True,426,0.21327845394611358,-0.02833216905593872
