Experiment name,usable,Configuration,Geometry,Repetition,last evaluated,last frame,loss of correlation at crack,first frame with contact,Volk&Hora e1,Volk&Hora e2,DIN average e1,DIN average e2,Gamma,Crack position ok,Comment
E0_RM00_018_W12_001,1,E0_RM00_018,W12,001,31.May.2026 22:16,473,0,0,0.30645372794372566,0.09076110563857975,0.3225758878389954,0.08429284824091174,72.4,ok,
E0_RM00_018_W20_001,1,E0_RM00_018,W20,001,31.May.2026 22:17,567,43,0,0.434825033847214,0.39090649647186015,0.4121874245529874,0.39115248380820467,75.68,ok,- l 1: e1 unstable -- l 2: e1 unstable -- l 3: e1 unstable -- l 4: e1 unstable -
E0_RM00_090_W02_001,1,E0_RM00_090,W02,001,31.May.2026 22:17,428,0,0,0.3664654615283301,-0.09142735230648488,0.36202444424105573,-0.08439693797108722,39.1,ok,
E0_RM00_090_W02_002,1,E0_RM00_090,W02,002,31.May.2026 22:17,429,14,0,0.3586142797839833,-0.09011689294627644,0.3567713651857684,-0.08333159944568651,65.39,ok,
E0_RM00_090_W05_001,1,E0_RM00_090,W05,001,31.May.2026 22:18,462,38,0,0.3149015932038789,-0.03321048978700147,0.34641519107128055,-0.03136202466534568,89.74,ok,
E0_RM00_090_W05_002,1,E0_RM00_090,W05,002,31.May.2026 22:18,461,45,0,0.34073148586688545,-0.036322898735801946,0.34662393147922166,-0.02937090570873354,89.54,ok,
E0_RM00_090_W08_001,1,E0_RM00_090,W08,001,31.May.2026 22:19,477,95,0,0.31251325328621454,0.010155757670119923,0.3205227741011794,0.015353558482281038,89.29,ok,
E0_RM00_090_W08_002,1,E0_RM00_090,W08,002,31.May.2026 22:19,477,77,0,0.300882547533158,0.012127352823125253,0.3105219231756286,0.015900463713916624,89.49,ok,
E0_RM00_090_W09_001,1,E0_RM00_090,W09,001,31.May.2026 22:20,453,93,0,0.2994093354176878,0.026217284996965233,0.29327254883922765,0.024899555917989924,89.79,ok,
E0_RM00_090_W09_002,1,E0_RM00_090,W09,002,31.May.2026 22:20,455,84,0,0.3017741025905574,0.025882744764695403,0.29592680609453603,0.025135280400321626,89.78,ok,
E0_RM00_090_W10_001,1,E0_RM00_090,W10,001,31.May.2026 22:21,454,55,0,0.28323126731193704,0.03769725222136784,0.2683846174858831,0.035463664173681374,89.66,ok,
E0_RM00_090_W10_002,1,E0_RM00_090,W10,002,31.May.2026 22:21,504,82,0,0.3025152033583437,0.03631913299766522,0.280783942545008,0.034268130471849,89.67,ok,
E0_RM00_090_W12_001,1,E0_RM00_090,W12,001,31.May.2026 22:22,474,678,0,0.3129341159005575,0.060873567273742275,0.2674167601968233,0.06005441091447652,64.26,ok,
E0_RM00_090_W12_002,1,E0_RM00_090,W12,002,31.May.2026 22:22,472,158,0,0.2620512147618749,0.06463651712433699,0.2662541524906608,0.061348720224425654,89.7,ok,
E0_RM00_090_W20_001,1,E0_RM00_090,W20,001,31.May.2026 22:23,598,170,0,0.41460293624888767,0.3757931743629954,0.39694351139950146,0.37624167397237207,77.49,ok,
E0_RM00_090_W20_002,0,E0_RM00_090,W20,002,31.May.2026 22:23,616,0,,,,,,,,
